hospital_name,institution_type,specialty,departments,address,sido,sigungu,dong,phone,website,email,representative,bed_count,doctor_count,established_date,ykiho,source
365힐링의원,의원,,,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",서울,강동구,천호동,02-475-3650,http://365hmc.co.kr,,,0,3,20170608,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,hira
747의원,의원,,,"서울특별시 강남구 도산대로 122, 에메랄드타워 8층 (논현동)",서울,강남구,논현동,02-546-0747,http://747clinic.com,,소개,0,1,20251114,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz,hira
815의원,의원,,,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",서울,강남구,신사동,02-515-8150,https://knockknockplant.co.kr/,,,0,3,20180820,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,hira
90일의기적의원,의원,,,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",서울,강남구,청담동,02-512-7515,https://blog.naver.com/miracle90d,,,0,1,20241025,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,hira
BJ 라임의원,의원,,,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",서울,관악구,남현동,02-588-1110,https://blog.naver.com/tahiti1001,,,0,1,20090310,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz,hira
BLS(비엘에스)의원,의원,,,"서울특별시 강남구 도산대로67길 13-5, BLS클리닉빌딩 1,2,3,6층 (청담동)",서울,강남구,청담동,02-544-4841,http://www.blsclinic1.com/,,이동진,0,6,20070827,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,hira
CL성형외과의원,의원,,,"서울특별시 노원구 동일로 1392, 5층 (상계동, 노원한일빌딩)",서울,노원구,상계동,02-933-6522,https://clps6522.co.kr/,,시술,0,1,20080303,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNjEjJDEjJDgjJDgz,hira
CNP차앤박피부과의원,의원,,,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",서울,영등포구,여의도동,02-786-5123,http://www.cnpskin.com/hos/main.php?groupid=cnpskin03,,,0,2,20010419,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,hira
DMC수색신경외과의원,의원,,,"서울특별시 은평구 수색로 191, 두빌191 2층 (증산동)",서울,은평구,증산동,02-305-4463,http://www.susakns.kr,,,0,1,20030107,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,hira
Dr홍연합의원,의원,,,"서울특별시 송파구 토성로 78, 203호 (풍납동)",서울,송파구,풍납동,02-483-0075,,,,0,1,20120601,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,hira
S아이니의원,의원,,,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",서울,구로구,구로동,02-857-8812,,,,0,1,20170922,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,hira
WE(더블유이)의원,의원,,,"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",서울,영등포구,당산동6가,02-518-0045,http://www.we-clinic.co.kr,,,0,1,20110801,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNDEjJDEjJDgjJDgz,hira
읻다의원,의원,,,"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",서울,강남구,청담동,02-3442-7588,http://iddaclinic.com,,신현섭,0,1,20210707,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,hira
가든내과의원,의원,,,"서울특별시 마포구 마포대로 52, (도화동, 고려아카데미텔Ⅱ)",서울,마포구,도화동,02-713-6218,,,,0,1,19971020,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz,hira
가락마취통증의학과의원,의원,,,"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",서울,송파구,문정동,02-406-7582,http://www.seoulmedicalcenter.co.kr/,,역임,0,1,20170322,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE4MzIjODEjJDEjJDIjJDgz,hira
가람내과의원,의원,,,"서울특별시 강동구 아리수로50길 50, 4층 11호 (고덕동, 래미안힐스테이트고덕)",서울,강동구,고덕동,02-427-7575,http://www.가람내과.한국,,,0,1,20070927,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz,hira
가미의원,의원,,,"서울특별시 송파구 오금로 176, 지인빌딩 3층 (송파동)",서울,송파구,송파동,02-416-6700,https://www.kamiskin.co.kr/,,이미지,0,1,20201111,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,hira
가산디지털내과의원,의원,,,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 118호 (가산동)",서울,금천구,가산동,02-6269-8501,https://blog.naver.com/gadimed,,,0,1,20190307,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz,hira
가산시그니처정형외과의원,의원,,,"서울특별시 금천구 가산디지털2로 144, 현대테라타워 가산DK 2층 211,212,213,214호 (가산동)",서울,금천구,가산동,02-6959-0675,https://www.signatureos.co.kr/,,이미지,0,2,20240910,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz,hira
가산연합의원,의원,,,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 403호 (가산동)",서울,금천구,가산동,02-1666-2500,http://www.gasanclinic.com/,,,0,1,20191101,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQyNjE4MzIjNDEjJDEjJDQjJDgz,hira
가야성모의원,의원,,,"서울특별시 서초구 동광로18길 55, 2층 (방배동)",서울,서초구,방배동,532-2345,www.gymaryclinic.com/,,,0,1,20091231,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDYjJDgz,hira
가양성모내과의원,의원,,,"서울특별시 강서구 화곡로68길 3, 401호, 404~407호 (등촌동)",서울,강서구,등촌동,02-2668-5050,https://blog.naver.com/gayang_sungmo,,,0,3,20220307,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz,hira
가재울정내과의원,의원,,,"서울특별시 서대문구 가재울미래로 2, 별동상가동 3층 304-1,2/305-1,2호 (남가좌동, DMC파크뷰자이)",서울,서대문구,,02-304-1789,,,,0,1,20180806,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQyIyQ3IyQwMCQyNjE4MzIjNTEjJDEjJDIjJDgz,hira
가족건강의원,의원,,,"서울특별시 도봉구 해등로 218, (쌍문동)",서울,도봉구,쌍문동,02-903-1556,,,,0,1,19890502,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,hira
가톨릭권정형외과의원,의원,,,"서울특별시 영등포구 신길로 42, 3층 (신길동)",서울,영등포구,신길동,02-842-6677,http://,,,0,1,20060501,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDQjJDgz,hira
가톨릭정형외과의원,의원,,,"서울특별시 은평구 응암로 308, 1층, 2층 (응암동, CM빌딩)",서울,은평구,응암동,02-354-9800,http://cafe.naver.com/catholicos,,,0,1,19991125,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDgjJDgz,hira
가톨릭정형외과의원,의원,,,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",서울,중랑구,면목동,02-2207-7711,http://www.cmcseoul.or.kr/,,,0,1,20021219,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,hira
감사한내과의원,의원,,,"서울특별시 동대문구 천호대로 2, 이지빌딩 4층 (신설동)",서울,동대문구,신설동,02-3298-6725,https://www.gamsahanclinic.com,hello.studioplanc@gmail.com,깊이가,0,1,20251217,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,hira
강가정의학과의원,의원,,,"서울특별시 동대문구 서울시립대로 31, 102동 201호 (전농동, 동아아파트)",서울,동대문구,전농동,02-2244-2335,http://www.drkang4u.com/,mybeauty2010@naver.com,강영록,0,1,20001031,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz,hira
강가정의학과의원,의원,,,"서울특별시 마포구 방울내로 70, 2층 (망원동)",서울,마포구,망원동,02-337-8645,http://www.drkang4u.com/,mybeauty2010@naver.com,강영록,0,1,20040422,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,hira
강남 리쥬엘의원,의원,,,"서울특별시 서초구 강남대로 403, 8층 (서초동)",서울,서초구,서초동,02-537-8889,https://gangnam.rejuel.com/,,조현근,0,1,20250205,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,hira
강남12의원,의원,,,"서울특별시 강남구 테헤란로 111, 4층 (역삼동, 대건빌딩)",서울,강남구,역삼동,02-567-3000,http://www.gangnam12.co.kr/,,,0,1,20151228,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQyIyQ5IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,hira
강남365가정의학과의원,의원,,,"서울특별시 강남구 학동로 346, 강남구청역 지하1층 102호 (삼성동)",서울,강남구,삼성동,02-3442-7668,https://bit.ly/3WuYN7n,c2f3682ab76b520a22a12ad8978f0e9b@techlist.com,,0,1,20150825,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEyMjIjNDEjJDEjJDQjJDgz,hira
강남가드비뇨기과의원,의원,,,"서울특별시 동작구 동작대로 121, 8층 (사당동, 경원빌딩)",서울,동작구,사당동,02-566-8330,www.guardclinic.co.kr/,,,0,1,20161212,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,hira
강남고운세상피부과의원,의원,,,"서울특별시 강남구 테헤란로2길 8, 3층 (역삼동)",서울,강남구,역삼동,02-3477-2020,http://www.beautyforever.co.kr,,,0,1,20160922,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDYjJDgz,hira
