hospital_name,institution_type,specialty,departments,address,sido,sigungu,dong,phone,website,email,representative,bed_count,doctor_count,established_date,ykiho
123의원,의원,,,"서울특별시 강남구 삼성로 212, 241호 (대치동, 은마상가 B블럭)",서울,강남구,대치동,02-567-9123,http://www.123nunco.com,,,0,1,20081017,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDQjJDgz
1삼성탑의원,의원,,,"서울특별시 성동구 고산자로 255, 5층 (도선동, 케이-타워)",서울,성동구,도선동,02-2299-8875,,,,0,1,20091104,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz
2060오스킨성형외과의원,의원,,,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",서울,강남구,삼성동,02-555-2324,,,,0,1,20011008,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz
210정형외과의원,의원,,,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",서울,양천구,신정동,02-2605-0210,,,,0,3,20210112,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz
21성형외과의원,의원,,,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",서울,서초구,서초동,02-596-2121,https://21ps.co.kr/,,,0,3,20221209,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz
247외과의원,의원,,,"서울특별시 강남구 봉은사로 108, 2층 (역삼동)",서울,강남구,역삼동,02-562-0247,,,,0,1,20160927,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz
24시열린의원,의원,,,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",서울,광진구,자양동,02-455-2475,,,,0,4,20130927,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz
24시열린의원,의원,,,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",서울,마포구,상암동,02-2132-2475,,,,0,2,20171229,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz
24시열린의원,의원,,,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",서울,송파구,잠실동,02-415-2475,,,,0,1,20160104,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQwMyQyNjEwMDIjNTEjJDEjJDIjJDgz
365다움의원,의원,,,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",서울,성동구,행당동,02-2297-1755,,,,0,2,20110419,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz
365대림정형외과의원,의원,,,"서울특별시 영등포구 도림로 140, 대림빌딩 2층 (대림동)",서울,영등포구,대림동,02-833-3363,,,,0,1,20251107,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQwMyQ0NjE0ODEjNzEjJDEjJDgjJDgz
365더튼튼의원,의원,,,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",서울,구로구,오류동,02-2060-9111,,,,0,1,20080220,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDIjJDgz
365문정사랑의원,의원,,,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",서울,송파구,문정동,02-431-1339,,,,0,1,20181214,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz
365미소내과의원,의원,,,"서울특별시 동작구 남부순환로 2055, 2층 (사당동)",서울,동작구,사당동,02-522-3650,65miso.co.kr/,,,0,2,20120330,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz
365봄연합의원,의원,,,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",서울,강서구,등촌동,02-2054-6717,,,,0,2,20220803,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz
365서울늘열린의원,의원,,,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",서울,강동구,성내동,02-484-4799,,,,0,1,20080213,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz
365서울연합의원,의원,,,"서울특별시 중랑구 망우로 463, 2층 (망우동)",서울,중랑구,망우동,02-432-7580,,,,0,1,20080617,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
365아이엠유의원,의원,,,"서울특별시 송파구 송파대로 82, 장지역 104호 (장지동)",서울,송파구,장지동,02-401-0365,,,,0,2,20251219,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz
365연세의원,의원,,,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",서울,성동구,하왕십리동,02-2291-2211,,,,0,1,20170407,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz
365열린가정의학과의원,의원,,,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",서울,강남구,대치동,02-565-7119,,,,0,1,20180125,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz
365열린내과의원,의원,,,"서울특별시 노원구 한글비석로 77, 3층 (하계동)",서울,노원구,하계동,02-976-3658,,,,0,2,20100201,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEwMDIjNzEjJDEjJDgjJDgz
365열린의원,의원,,,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",서울,강동구,천호동,02-478-0365,http://www.365medical.co.kr,,,0,1,20100902,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz
365온(ON)가정의원,의원,,,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",서울,중구,신당동,02-6212-0365,,,,0,1,20230512,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz
365이화웃는세상의원,의원,,,"서울특별시 은평구 진관3로 11, 3층 301호 (진관동, 은평뉴타운 힐데스하임)",서울,은평구,진관동,02-1600-1527,,,,0,1,20180920,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDQjJDgz
365코이의원,의원,,,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",서울,강남구,논현동,02-540-0442,,,,0,1,20200107,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz
365한국신통의원,의원,,,"서울특별시 광진구 면목로 174, 2층 (중곡동)",서울,광진구,중곡동,02-499-0906,,,,0,1,20150612,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz
365항외과의원,의원,,,"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",서울,강북구,수유동,02-900-0365,,,,0,2,20150703,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQyNjEyMjIjNDEjJDEjJDQjJDgz
365휘경사랑의원,의원,,,"서울특별시 동대문구 망우로 77, 2층 (휘경동)",서울,동대문구,휘경동,02-2245-3638,,,,0,1,20250414,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz
365힐링의원,의원,,,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",서울,강동구,천호동,02-475-3650,,,,0,3,20170608,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz
747의원,의원,,,"서울특별시 강남구 도산대로 122, 에메랄드타워 8층 (논현동)",서울,강남구,논현동,02-546-0747,http://747clinic.com,,,0,1,20251114,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz
815의원,의원,,,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",서울,강남구,신사동,02-515-8150,,,,0,3,20180820,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz
90일의기적의원,의원,,,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",서울,강남구,청담동,02-512-7515,,,,0,1,20241025,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz
BJ 라임의원,의원,,,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",서울,관악구,남현동,02-588-1110,,,,0,1,20090310,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz
BLS(비엘에스)의원,의원,,,"서울특별시 강남구 도산대로67길 13-5, BLS클리닉빌딩 1,2,3,6층 (청담동)",서울,강남구,청담동,02-544-4841,,,,0,6,20070827,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz
CL성형외과의원,의원,,,"서울특별시 노원구 동일로 1392, 5층 (상계동, 노원한일빌딩)",서울,노원구,상계동,02-933-6522,,,,0,1,20080303,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNjEjJDEjJDgjJDgz
CNP차앤박피부과의원,의원,,,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",서울,영등포구,여의도동,02-786-5123,http://www.cnpskin.com/hos/main.php?groupid=cnpskin03,,,0,2,20010419,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz
DMC수색신경외과의원,의원,,,"서울특별시 은평구 수색로 191, 두빌191 2층 (증산동)",서울,은평구,증산동,02-305-4463,http://www.susakns.kr,,,0,1,20030107,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz
Dr홍연합의원,의원,,,"서울특별시 송파구 토성로 78, 203호 (풍납동)",서울,송파구,풍납동,02-483-0075,,,,0,1,20120601,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz
S아이니의원,의원,,,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",서울,구로구,구로동,02-857-8812,,,,0,1,20170922,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz
WE(더블유이)의원,의원,,,"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",서울,영등포구,당산동6가,02-518-0045,http://www.we-clinic.co.kr,,,0,1,20110801,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNDEjJDEjJDgjJDgz
읻다의원,의원,,,"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",서울,강남구,청담동,02-3442-7588,,,,0,1,20210707,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz
가든내과의원,의원,,,"서울특별시 마포구 마포대로 52, (도화동, 고려아카데미텔Ⅱ)",서울,마포구,도화동,02-713-6218,,,,0,1,19971020,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz
가락마취통증의학과의원,의원,,,"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",서울,송파구,문정동,02-406-7582,,,,0,1,20170322,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE4MzIjODEjJDEjJDIjJDgz
가람내과의원,의원,,,"서울특별시 강동구 아리수로50길 50, 4층 11호 (고덕동, 래미안힐스테이트고덕)",서울,강동구,고덕동,02-427-7575,,,,0,1,20070927,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz
가미의원,의원,,,"서울특별시 송파구 오금로 176, 지인빌딩 3층 (송파동)",서울,송파구,송파동,02-416-6700,,,,0,1,20201111,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz
가산디지털내과의원,의원,,,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 118호 (가산동)",서울,금천구,가산동,02-6269-8501,,,,0,1,20190307,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz
가산시그니처정형외과의원,의원,,,"서울특별시 금천구 가산디지털2로 144, 현대테라타워 가산DK 2층 211,212,213,214호 (가산동)",서울,금천구,가산동,02-6959-0675,,,,0,2,20240910,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz
가산연합의원,의원,,,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 403호 (가산동)",서울,금천구,가산동,02-1666-2500,,,,0,1,20191101,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQyNjE4MzIjNDEjJDEjJDQjJDgz
가야성모의원,의원,,,"서울특별시 서초구 동광로18길 55, 2층 (방배동)",서울,서초구,방배동,532-2345,www.gymaryclinic.com/,,,0,1,20091231,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDYjJDgz
가양성모내과의원,의원,,,"서울특별시 강서구 화곡로68길 3, 401호, 404~407호 (등촌동)",서울,강서구,등촌동,02-2668-5050,,,,0,3,20220307,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz
가재울정내과의원,의원,,,"서울특별시 서대문구 가재울미래로 2, 별동상가동 3층 304-1,2/305-1,2호 (남가좌동, DMC파크뷰자이)",서울,서대문구,,02-304-1789,,,,0,1,20180806,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQyIyQ3IyQwMCQyNjE4MzIjNTEjJDEjJDIjJDgz
가족건강의원,의원,,,"서울특별시 도봉구 해등로 218, (쌍문동)",서울,도봉구,쌍문동,02-903-1556,,,,0,1,19890502,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz
가톨릭권정형외과의원,의원,,,"서울특별시 영등포구 신길로 42, 3층 (신길동)",서울,영등포구,신길동,02-842-6677,http://,,,0,1,20060501,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDQjJDgz
가톨릭정형외과의원,의원,,,"서울특별시 은평구 응암로 308, 1층, 2층 (응암동, CM빌딩)",서울,은평구,응암동,02-354-9800,http://cafe.naver.com/catholicos,,,0,1,19991125,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDgjJDgz
가톨릭정형외과의원,의원,,,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",서울,중랑구,면목동,02-2207-7711,,,,0,1,20021219,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNjEjJDEjJDgjJDgz
감사한내과의원,의원,,,"서울특별시 동대문구 천호대로 2, 이지빌딩 4층 (신설동)",서울,동대문구,신설동,02-3298-6725,,,,0,1,20251217,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz
강가정의학과의원,의원,,,"서울특별시 동대문구 서울시립대로 31, 102동 201호 (전농동, 동아아파트)",서울,동대문구,전농동,02-2244-2335,,,,0,1,20001031,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz
강가정의학과의원,의원,,,"서울특별시 마포구 방울내로 70, 2층 (망원동)",서울,마포구,망원동,02-337-8645,,,,0,1,20040422,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz
강남 리쥬엘의원,의원,,,"서울특별시 서초구 강남대로 403, 8층 (서초동)",서울,서초구,서초동,02-537-8889,https://gangnam.rejuel.com/,,,0,1,20250205,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
강남12의원,의원,,,"서울특별시 강남구 테헤란로 111, 4층 (역삼동, 대건빌딩)",서울,강남구,역삼동,02-567-3000,,,,0,1,20151228,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQyIyQ5IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz
강남365가정의학과의원,의원,,,"서울특별시 강남구 학동로 346, 강남구청역 지하1층 102호 (삼성동)",서울,강남구,삼성동,02-3442-7668,,,,0,1,20150825,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEyMjIjNDEjJDEjJDQjJDgz
강남가드비뇨기과의원,의원,,,"서울특별시 동작구 동작대로 121, 8층 (사당동, 경원빌딩)",서울,동작구,사당동,02-566-8330,www.guardclinic.co.kr/,,,0,1,20161212,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz
강남고운세상피부과의원,의원,,,"서울특별시 강남구 테헤란로2길 8, 3층 (역삼동)",서울,강남구,역삼동,02-3477-2020,http://www.beautyforever.co.kr,,,0,1,20160922,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDYjJDgz
강남다움의원,의원,,,"서울특별시 서초구 강남대로 419, 파고다타워 지하2층 (서초동)",서울,서초구,서초동,02-6557-7701,https://gd-clinic.com,,,0,1,20251021,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz
강남닥터에버스의원,의원,,,"서울특별시 강남구 강남대로 458, 남영빌딩 8~10층 (역삼동)",서울,강남구,역삼동,02-2138-0777,,,,0,11,20241002,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ3OSQyNjE0ODEjNjEjJDEjJDAjJDgz
강남더슬림의원,의원,,,"서울특별시 서초구 신반포로 315, 삼덕빌딩 4층 (잠원동)",서울,서초구,잠원동,02-547-9877,,,,0,2,20170713,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjNjEjJDEjJDAjJDgz
강남더의원,의원,,,"서울특별시 강남구 학동로 342, 에스케이 허브블루 4층 404호 (논현동)",서울,강남구,논현동,0507-1327-7975,,,,0,1,20180824,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDIjJDgz
강남디렉터의원,의원,,,"서울특별시 서초구 서초대로77길 62, 강남역 IPARK L108호 제108호~113호 (서초동)",서울,서초구,서초동,02-6010-1300,,,,0,1,20260123,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNzEjJDEjJDgjJDgz
강남라렌의원,의원,,,"서울특별시 강남구 강남대로 378, 준빌딩 10층 (역삼동)",서울,강남구,역삼동,02-894-7781,,,,0,2,20190828,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNjEjJDEjJDAjJDgz
강남라해의원,의원,,,"서울특별시 강남구 강남대로 548, 건우빌딩 7층 (논현동)",서울,강남구,논현동,02-598-0612,,,,0,1,20200424,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz
