hospital_name,email,reason
바노바기성형외과의원,yt-support-solutions-kr@google.com,known_junk
반딧불의원,yt-support-solutions-kr@google.com,known_junk
벤자민피부과의원,yt-support-solutions-kr@google.com,known_junk
보아스이비인후과의원,info@boazent.co.kr,agency:boazent.co.kr
보아스이비인후과의원,info@boazent.co.kr,agency:boazent.co.kr
보아스이비인후과의원,info@boazent.co.kr,agency:boazent.co.kr
보아스이비인후과의원,info@boazent.co.kr,agency:boazent.co.kr
뷰티스톤의원,yt-support-solutions-kr@google.com,known_junk
뷰티스톤의원,yt-support-solutions-kr@google.com,known_junk
브이에이성형외과의원,yt-support-solutions-kr@google.com,known_junk
브이의원,vncopr@vnco.kr,agency:vnco.kr
브이의원,vncopr@vnco.kr,agency:vnco.kr
비스포크의원,yt-support-solutions-kr@google.com,known_junk
비에스티성형외과의원,yt-support-solutions-kr@google.com,known_junk
비욘드의원,yt-support-solutions-kr@google.com,known_junk
비타민의원,yt-support-solutions-kr@google.com,known_junk
비타민의원,yt-support-solutions-kr@google.com,known_junk
비티큐의원,wy.choi1@lingtea.co.kr,agency:lingtea.co.kr
빛샘안영우의원,yt-support-solutions-kr@google.com,known_junk
쁘띠플러스의원,yt-support-solutions-kr@google.com,known_junk
산소피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
서울베스트외과의원,yt-support-solutions-kr@google.com,known_junk
서울진피부과의원,yt-support-solutions-kr@google.com,known_junk
서울큐재활의학과의원,yt-support-solutions-kr@google.com,known_junk
성수멜팅의원,yt-support-solutions-kr@google.com,known_junk
세니아의원,yt-support-solutions-kr@google.com,known_junk
세예의원,yt-support-solutions-kr@google.com,known_junk
수의원,yt-support-solutions-kr@google.com,known_junk
스키니크의원,yt-support-solutions-kr@google.com,known_junk
스킨다피부과의원,yt-support-solutions-kr@google.com,known_junk
스타라인성형외과의원,yt-support-solutions-kr@google.com,known_junk
슬림영의원,yt-support-solutions-kr@google.com,known_junk
시즈의원,yt-support-solutions-kr@google.com,known_junk
시크릿성형외과의원,yt-support-solutions-kr@google.com,known_junk
신데렐라신사점성형외과의원,yt-support-solutions-kr@google.com,known_junk
신사에그의원,yt-support-solutions-kr@google.com,known_junk
써밋의원,yt-support-solutions-kr@google.com,known_junk
아르노피부과의원,yt-support-solutions-kr@google.com,known_junk
아르떼의원,yt-support-solutions-kr@google.com,known_junk
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아비쥬의원,test@web2002.co.kr,junk_domain:web2002.co.kr
아이들소아청소년과의원,a@a.com,junk_domain:a.com
압구정리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
약수내과의원,info@boazent.co.kr,agency:boazent.co.kr
에스엠성형외과의원,yt-support-solutions-kr@google.com,known_junk
에이브의원,wy.choi1@lingtea.co.kr,agency:lingtea.co.kr
엘스타의원,yt-support-solutions-kr@google.com,known_junk
여의도상한가의원,yt-support-solutions-kr@google.com,known_junk
연세고운미의원,yt-support-solutions-kr@google.com,known_junk
연세고은의원,a@a.com,junk_domain:a.com
연세리움의원,yt-support-solutions-kr@google.com,known_junk
연세펠리체여성의원,yt-support-solutions-kr@google.com,known_junk
연세혜원산부인과의원,yt-support-solutions-kr@google.com,known_junk
오브의원,yt-support-solutions-kr@google.com,known_junk
오블리성형외과의원,withsky@vizensoft.com,agency:vizensoft.com
오블리주의원,myongbin@docfriends.com,agency:docfriends.com
우태하피부과의원 동대문점,imweb-desgin@imweb.me,agency:imweb.me
원피부과의원,hello@wilsonbrock.com,no_mx_record
유메이비의원,yt-support-solutions-kr@google.com,known_junk
유브의원,yt-support-solutions-kr@google.com,known_junk
유앤영피부과의원,promotion@cunetwork.co.kr,agency:cunetwork.co.kr
유웰비뇨의학과의원,yt-support-solutions-kr@google.com,known_junk
유유의원,yt-support-solutions-kr@google.com,known_junk
이가정의원,simonch@medigate.net,agency:medigate.net
이노벨의원,yt-support-solutions-kr@google.com,known_junk
이승필가정의학과의원,yt-support-solutions-kr@google.com,known_junk
이윤수조성완비뇨기과의원,info@kissdinic.co.kr,no_mx_record
일퍼센트성형외과의원,yt-support-solutions-kr@google.com,known_junk
제너리스의원,yt-support-solutions-kr@google.com,known_junk
제이윤피부과의원,yt-support-solutions-kr@google.com,known_junk
제이준성형외과의원,yt-support-solutions-kr@google.com,known_junk
준비뇨기과의원,contact@ksodeisgn.com,no_mx_record
차이마취통증의학과의원,mailto:ugly3bros@gmail.com,invalid_format
차이의원,yt-support-solutions-kr@google.com,known_junk
처음처럼성형외과의원,yt-support-solutions-kr@google.com,known_junk
청담리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
청담미닛의원,yt-support-solutions-kr@google.com,known_junk
청담이엘피부과의원,yt-support-solutions-kr@google.com,known_junk
청담제이더마의원,yt-support-solutions-kr@google.com,known_junk
청담지온유의원,yt-support-solutions-kr@google.com,known_junk
청담퍼스널의원,cdpsnclinic@gmaill.com,no_mx_record
클래시성형외과의원,yt-support-solutions-kr@google.com,known_junk
클럽미즈라미체의원,support@dable.io,agency:dable.io
클린업피부과의원,promotion@cunetwork.co.kr,agency:cunetwork.co.kr
클린업피부과의원,promotion@cunetwork.co.kr,agency:cunetwork.co.kr
클린업피부과의원,promotion@cunetwork.co.kr,agency:cunetwork.co.kr
클린업피부과의원,promotion@cunetwork.co.kr,agency:cunetwork.co.kr
파스칼의원,yt-support-solutions-kr@google.com,known_junk
포레성형외과의원,yt-support-solutions-kr@google.com,known_junk
포레피부과의원,yt-support-solutions-kr@google.com,known_junk
포에버(FOREVER)의원,hd@4-ever.co.kr,junk_pattern
포에버의원,yt-support-solutions-kr@google.com,known_junk
포에버의원,yt-support-solutions-kr@google.com,known_junk
포에버의원,yt-support-solutions-kr@google.com,known_junk
포에버의원,yt-support-solutions-kr@google.com,known_junk
프레쉬홍닥터의원,yt-support-solutions-kr@google.com,known_junk
플래티넘의원,c2f3682ab76b520a22a12ad8978f0e9b@techlist.com,agency:techlist.com
하이맵의원,kimhyejeung@brancos.co.kr,agency:brancos.co.kr
하이맵의원,prodoer@brancos.co.kr,agency:brancos.co.kr
허준원엠디피부과의원,contents@dolwumul.com,agency:dolwumul.com
허준원엠디피부과의원,ncontents@dolwumul.com,agency:dolwumul.com
허준원엠디피부과의원,yt-support-solutions-kr@google.com,known_junk
홍대포에버의원,hd@4-ever.co.kr,junk_pattern
고유성형외과의원,yt-support-solutions-kr@google.com,known_junk
기린성형외과의원,admin@girinlife.com,agency:girinlife.com
기린성형외과의원,test@girinlife.com,agency:girinlife.com
김동진성형외과의원,dj@djclinic.com,junk_pattern
꼼꼼성형외과의원,yt-support-solutions-kr@google.com,known_junk
넥스트성형외과의원,yt-support-solutions-kr@google.com,known_junk
다름성형외과의원,yt-support-solutions-kr@google.com,known_junk
더타이트성형외과의원,yt-support-solutions-kr@google.com,known_junk
드림성형외과의원,dream@e-dream.co.kr,agency:e-dream.co.kr
리뉴외과의원,yt-support-solutions-kr@google.com,known_junk
리브성형외과의원,info@livps.co.kr,no_mx_record
멜론성형외과의원,yt-support-solutions-kr@google.com,known_junk
모티브성형외과의원,yt-support-solutions-kr@google.com,known_junk
미호성형외과의원,yt-support-solutions-kr@google.com,known_junk
바나나성형외과의원,withsky@vizensoft.com,agency:vizensoft.com
박진석성형외과의원,yt-support-solutions-kr@google.com,known_junk
서래성형외과의원,yt-support-solutions-kr@google.com,known_junk
서울위드성형외과의원,yt-support-solutions-kr@google.com,known_junk
성낙관성형외과의원,yt-support-solutions-kr@google.com,known_junk
스페셜이비인후과의원,yt-support-solutions-kr@google.com,known_junk
아이팅성형외과의원,support@dable.io,agency:dable.io
압구정드림성형외과의원,dream@e-dream.co.kr,agency:e-dream.co.kr
연세다나이비인후과의원,press@strikingly.com,agency:strikingly.com
연세다나이비인후과의원,support@strikingly.com,agency:strikingly.com
연세이미지라인의원,yt-support-solutions-kr@google.com,known_junk
영영성형외과의원,yt-support-solutions-kr@google.com,known_junk
윈느성형외과의원,yt-support-solutions-kr@google.com,known_junk
제이티성형외과의원,yt-support-solutions-kr@google.com,known_junk
조아성형외과의원,yt-support-solutions-kr@google.com,known_junk
지흡멘토의원,yt-support-solutions-kr@google.com,known_junk
초이스라인의원,yt-support-solutions-kr@google.com,known_junk
커스텀성형외과의원,yt-support-solutions-kr@google.com,known_junk
타코성형외과의원,yt-support-solutions-kr@google.com,known_junk
페이스플러스성형외과의원,yt-support-solutions-kr@google.com,known_junk
프로필성형외과의원,yt-support-solutions-kr@google.com,known_junk
하니성형외과의원,yt-support-solutions-kr@google.com,known_junk
하이엔드성형외과의원,yt-support-solutions-kr@google.com,known_junk
힐링성형외과의원,yt-support-solutions-kr@google.com,known_junk
비쥬얼피부과의원,yt-support-solutions-kr@google.com,known_junk
삼성필성형외과의원,yt-support-solutions-kr@google.com,known_junk
세종연세에스의원,yt-support-solutions-kr@google.com,known_junk
연세더아름의원,﻿,invalid_format
연세미니성형외과의원,yt-support-solutions-kr@google.com,known_junk
유웰비뇨의학과의원,yt-support-solutions-kr@google.com,known_junk
제너리스의원 천호점,yt-support-solutions-kr@google.com,known_junk
고은경희한의원 구로,yt-support-solutions-kr@google.com,known_junk
린여성병원,yt-support-solutions-kr@google.com,known_junk
오블리주의원 홍대,myongbin@docfriends.com,agency:docfriends.com
홍제온한의원,yt-support-solutions-kr@google.com,known_junk
한양대학교병원,yt-support-solutions-kr@google.com,known_junk
여의도상한가의원,yt-support-solutions-kr@google.com,known_junk
활기찬정형외과의원 은평,yt-support-solutions-kr@google.com,known_junk
서울대학교병원,yt-support-solutions-kr@google.com,known_junk
강북삼성병원,yt-support-solutions-kr@google.com,known_junk
매일백세한의원,yt-support-solutions-kr@google.com,known_junk
서울365외과의원,yt-support-solutions-kr@google.com,known_junk
김포365한의원,yt-support-solutions-kr@google.com,known_junk
경기광주S한의원,yt-support-solutions-kr@google.com,known_junk
참조은병원,applek99@mdtoday.co.kr,agency:mdtoday.co.kr
참조은병원,box@seoultimes.news,agency:seoultimes.news
참조은병원,calltaxi@seoultimes.news,agency:seoultimes.news
참조은병원,mdtoday@mdtoday.co.kr,agency:mdtoday.co.kr
참조은병원,press@mdtoday.co.kr,agency:mdtoday.co.kr
하우림한의원 산본,yt-support-solutions-kr@google.com,known_junk
해성산부인과의원,yt-support-solutions-kr@google.com,known_junk
강북보아스이비인후과의원,boazent@boazent.net,agency:boazent.net
아비쥬의원 노원,test@web2002.co.kr,junk_domain:web2002.co.kr
스키니크의원 강남역점,yt-support-solutions-kr@google.com,known_junk
성수멜팅의원,yt-support-solutions-kr@google.com,known_junk
아비쥬의원 목동,test@web2002.co.kr,junk_domain:web2002.co.kr
순천향대학교 부속 서울병원,yt-support-solutions-kr@google.com,known_junk
연세메디노블의원,yt-support-solutions-kr@google.com,known_junk
효산의료재단 지샘병원,yt-support-solutions-kr@google.com,known_junk
메리엘산부인과의원,user@domain.com,junk_domain:domain.com
바노바기성형외과의원,yt-support-solutions-kr@google.com,known_junk
비에스티성형외과의원,yt-support-solutions-kr@google.com,known_junk
더행복한흉부외과의원 강남본점,yt-support-solutions-kr@google.com,known_junk
아이디병원,id@idhospital.com,junk_pattern
디엠성형외과의원,yt-support-solutions-kr@google.com,known_junk
리더스피부과의원 청담,master@beautyleader.co.kr,agency:beautyleader.co.kr
신사에그의원,yt-support-solutions-kr@google.com,known_junk
일상의한의원,okchart@okchart.com,agency:okchart.com
발머스한의원 잠실,yt-support-solutions-kr@google.com,known_junk
서울큐재활의학과의원 송파석촌,yt-support-solutions-kr@google.com,known_junk
디앤써피부과의원,yt-support-solutions-kr@google.com,known_junk
보아스이비인후과의원 약수본원,info@boazent.co.kr,agency:boazent.co.kr
이가정의원,simonch@medigate.net,agency:medigate.net
샤인빔의원 강서,yt-support-solutions-kr@google.com,known_junk
한국원자력의학원 원자력병원,yt-support-solutions-kr@google.com,known_junk
신사임당한의원,yt-support-solutions-kr@google.com,known_junk
소통한의원,yt-support-solutions-kr@google.com,known_junk
명동 리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
아비쥬의원 청량리,test@web2002.co.kr,junk_domain:web2002.co.kr
방외과의원,yt-support-solutions-kr@google.com,known_junk
리앤여성의원,reann@reann.co.kr,no_mx_record
리앤여성의원,tech@eurekanet.co.kr,agency:eurekanet.co.kr
친절한 홍 한의원,yt-support-solutions-kr@google.com,known_junk
내몸사랑한의원,yt-support-solutions-kr@google.com,known_junk
연오재한의원,okchart@okchart.com,agency:okchart.com
연세신통외과의원,yt-support-solutions-kr@google.com,known_junk
강남초이스병원,info@gcchoice.com,no_mx_record
강남초이스병원,privacy@gcchoice.com,no_mx_record
나나성형외과의원,swiper-bundle@11.min.css,junk_domain:11.min.css
나나성형외과의원,swiper-bundle@11.min.js,junk_domain:11.min.js
더셀피부과의원 강남본점,yt-support-solutions-kr@google.com,known_junk
리프업의원 잠실,yt-support-solutions-kr@google.com,known_junk
사랑아이여성의원,sslee@rapportian.com,agency:rapportian.com
연세에이앤비피부과의원,yt-support-solutions-kr@google.com,known_junk
비스포크의원,yt-support-solutions-kr@google.com,known_junk
로하스의원,yt-support-solutions-kr@google.com,known_junk
CM병원,yt-support-solutions-kr@google.com,known_junk
국립중앙의료원,yt-support-solutions-kr@google.com,known_junk
슬림영의원,yt-support-solutions-kr@google.com,known_junk
강동성심병원,d@2.fnx,junk_pattern
강동성심병원,rg@c.zii,junk_pattern
강동성심병원,w@c.ko,junk_pattern
강동성심병원,z4@h.qne,junk_pattern
꼼꼼성형외과의원,yt-support-solutions-kr@google.com,known_junk
아비쥬의원 구로,test@web2002.co.kr,junk_domain:web2002.co.kr
미앤유의원,copyright@2006menyouclinic.com,no_mx_record
아이들소아청소년과의원,a@a.com,junk_domain:a.com
애플산부인과의원 분당,myongbin@docfriends.com,agency:docfriends.com
메이린의원 일산,mkt@maylin.co.kr,agency:maylin.co.kr
