id,이메일,병원명,지역,진료과목,전화번호,웹사이트,발송여부,오픈,오픈시간,클릭,클릭시간
85090fc7,admarketeam@gmail.com,뉴리즈의원,서울 송파구,,02-6951-0655,https://newrizz.co.kr/jamsil,,,,,
26a60dcd,newvecompany@gmail.com,뉴브의원,서울 강남구,,031-935-5375,https://www.newve-skinclinic.co.kr/,,,,,
eb1d096e,example@gmail.com,뉴스타의원,서울 서초구,,02-514-6800,http://newstarclinic.co.kr/,,,,,
df9f6dd8,newstarclinic@naver.com,뉴스타의원,서울 서초구,,02-514-6800,http://newstarclinic.co.kr/,,,,,
afd1cbee,nsdental@naver.com,늘사랑의원,서울 노원구,,02-979-0311,http://www.nsdental.co.kr,,,,,
8c7703d3,dybe99@naver.com,다이브의원,서울 성북구,,02-3291-5570,https://dybeclinic.com,,,,,
1faa8b12,diaurology@gmail.com,다이아비뇨의학과의원,서울 마포구,,02-6375-9000,http://diauro.co.kr/,,,,,
de015185,dia_clinic@naver.com,다이아의원,서울 서초구,,,http://www.diaclinic.co.kr,,,,,
e42a6a49,nhorycory@datena.kr,다태나의원,서울 송파구,,02-6952-6980,https://www.youtube.com/@haclinic,,,,,
353894af,doctornewcell@gmail.com,닥터뉴셀의원,서울 강남구,,02-6956-2227,https://drnewcell.com/,,,,,
3648ee0f,drd.clinic8@gmail.com,닥터디자이너의원,서울 영등포구,,02-3667-4842,https://ydp.drdclinic.co.kr/s/zczh0,,,,,
122195a8,doctormi119@gmail.com,닥터미성형외과의원,서울 서초구,,02-6258-8880,http://doctor-mi.com/_html/,,,,,
d7c2ae32,drbasicclininc@gmail.com,닥터베이직의원,서울 강남구,,02-3448-0090,http://www.drbasic.co.kr/,,,,,
964018ec,doctors365@naver.com,닥터스피부과의원,서울 강남구,,1670-1637,http://gongdeok.doctors365.co.kr/,,,,,
d2f9937f,drevers7060@naver.com,닥터에버스의원,서울 마포구,,02-3144-2011,http://evers2.co.kr/,,,,,
dcdbec89,dreversgr@naver.com,닥터에버스의원,서울 구로구,,02-2138-2140,https://evers22.co.kr/,,,,,
9dac7375,lalalandrara@naver.com,닥터에버스의원 목동,서울 양천구,,02-6956-2015,https://evers10.co.kr/,,,,,
8e0ca50a,dr_wellness@naver.com,닥터웰니스의원,서울 강남구,,02-3447-3101,http://www.drwellness.co.kr,,,,,
f4cfb29a,contact@drtakps.com,닥터탁성형외과의원,서울 서초구,,,https://drtakps.com,,,,,
e5ceb1e4,drpain@nate.com,닥터포유의원,서울 마포구,,02-334-8840,http://dr4u.co.kr/,,,,,
35146e5b,ji372@naver.com,단아의원,서울 중구,,02-779-7412,http://myeongdongclinic.com/,,,,,
053ddf05,daontheme@daum.net,대치더블유내과의원,서울 강남구,,02-539-9939,http://w-med.co.kr,,,,,
b3e26056,saemmulskin@gmail.com,대치샘물피부과의원,서울 강남구,,02-564-1191,http://saemmulclinic.co.kr/,,,,,
f60d806e,sdhpain@gmail.com,대힐마취통증의학과의원,서울 양천구,,02-2654-0345,http://sdhpain.com/,,,,,
ed58c0ff,thecclimd@naver.com,더끌림피부과의원,서울 송파구,,02-402-0220,http://www.the-cclim.co.kr/?r=p,,,,,
744a6527,derna.gangnam@gmail.com,더나의원,서울 서초구,,02-3478-8970,https://dernaclinic.com,,,,,
4b01f408,dermaster123@naver.com,더마스터의원,서울 강남구,,02-563-7080,http://www.dermasterclinic.com/,,,,,
c2053e0a,mentor7870@naver.com,더멘토성형외과의원,서울 강남구,,0507-1311-7876,http://www.thementorps.com/,,,,,
dc51a192,nthecellskin@naver.com,더서울피부과의원,서울 강남구,,02-514-8575,https://www.youtube.com/@thecellskin,,,,,
c65c170c,thecellskin@naver.com,더서울피부과의원,서울 강남구,,02-514-8575,https://www.youtube.com/@thecellskin,,,,,
63394636,theskinny2@naver.com,더스키니의원,서울 서초구,,,http://theskinny.co.kr,,,,,
2ff77d5d,deraan2023@naver.com,더안청담의원,서울 강남구,,02-0000-0000,https://aanclinic.com,,,,,
4a9a114c,dark_nemesis@naver.com,더왈츠의원,서울 서초구,,02-2052-0002,https://thewalts.co.kr/,,,,,
f04593cd,dbalsl0005@gmail.com,더웰니스의원,서울 서초구,,,https://thewellnessclinic.co.kr/,,,,,
a2becd4d,doctor1h11@gmail.com,더이다의원,서울 중구,,02-533-6695,https://www.idaclinic.io/,,,,,
d795fa51,strider0622@naver.com,더케어클리닉의원,서울 송파구,,02-6285-2021,http://thecareclinic.kr,,,,,
9cceb402,micha87@naver.com,더탑성형외과의원,서울 강북구,,02-993-5000,http://thetop-ps.co.kr/,,,,,
3b12ba01,pride@prideps.co.kr,더프라이드성형외과의원,서울 강남구,,02-549-8001,https://thepride.co.kr,,,,,
65a97ca4,theprideps2025@naver.com,더프라이드성형외과의원,서울 강남구,,02-549-8001,https://thepride.co.kr,,,,,
cc74828a,thepeakclinic.cheongdam@gmail.com,더피크의원,서울 강남구,,02-6953-5874,http://thepeakclinic.com,,,,,
75d0847c,donghwn@naver.com,더픽스성형외과의원,서울 강남구,,02-592-2860,http://Thefixps.com,,,,,
5a961d4c,dilis109@naver.com,데이뷰의원,서울 광진구,,02-465-7791,https://daybeauclinic08.com,,,,,
09d04031,delphic.hr@gmail.com,델픽의원,서울 강남구,,02-511-8818,https://www.delphic.co.kr,,,,,
f86a64e7,khs@dongins.com,동인외과의원,서울 금천구,,02-868-3523,http://www.dongins.com/index/,,,,,
9e26b396,clinic.deor@gmail.com,드올의원,서울 강남구,,02-6959-4688,http://deorclinic.com/,,,,,
1528eff7,jstory76@naver.com,디마레의원,서울 강남구,,02-511-4414,http://www.dimare.co.kr/,,,,,
5494a850,diavclinic@gmail.com,디아브의원,서울 중구,,02-318-1314,https://diav.clinic,,,,,
a2d47814,da-general2@naver.com,디에이성형외과의원,서울 강남구,,02-515-4600,http://www.daprs.com/,,,,,
dd5eb177,daprs1@naver.com,디에이성형외과의원,서울 강남구,,02-515-4600,http://www.daprs.com/,,,,,
54cb664a,official@da-dosan.com,디에이피부과의원,서울 강남구,,02-512-3300,https://www.daderma.com/,,,,,
d65716ba,themderma@naver.com,디엠피부과의원,서울 강남구,,02-3445-0803,http://dmdermatology.co.kr/,,,,,
7ce37433,contact@dodskinys.com,디오디피부과의원,서울 강남구,,02-6203-6263,http://dodskinys.com,,,,,
84f7be9b,lewis@abigtree.kr,디온의원,서울 송파구,,02-6949-3310,https://theonclinic-js.com,,,,,
c86b7354,yhhcw6@hanmail.net,똑바로정형외과의원,서울 양천구,,2607-0001,http://똑바로정형외과.com,,,,,
8c146e3a,mkkim@gmail.com,라더마의원,서울 성북구,,02-922-7550,http://www.laderma.co.kr/,,,,,
e3c1bb65,lara@laraps.co.kr,라라성형외과의원,서울 강남구,,02-532-8078,http://www.laraps.co.kr/,,,,,
27e2872e,lavianps1000@gmail.com,라비앙의원,서울 강남구,,02-543-1000,https://www.youtube.com/@lavian/featured,,,,,
e956834f,laviche_clinic@naver.com,라비체의원,서울 강남구,,02-6346-1234,https://lavicheclinic.com/,,,,,
32eda5c5,lifeclinic7111@naver.com,라이프의원,서울 강남구,,02-529-7111,http://www.lifeclinic.co.kr/,,,,,
4299de4c,lineculture1@gmail.com,라인컬처의원,서울 강남구,,02-543-0070,http://www.line-culture.com/,,,,,
f2565998,m.minahh@hanmail.net,러쉬성형외과의원,서울 강남구,,02-6245-7575,http://www.lushps1.com/,,,,,
a2444488,nredi_skin_official@naver.com,레디피부과의원,서울 서초구,,02-522-6227,https://youtube.com/피부일타민원장,,,,,
5a57f343,ntenriver@naver.com,레디피부과의원,서울 서초구,,02-522-6227,https://youtube.com/피부일타민원장,,,,,
9a1762fb,redi_skin_official@naver.com,레디피부과의원,서울 서초구,,02-522-6227,https://youtube.com/피부일타민원장,,,,,
c629daaa,tenriver@naver.com,레디피부과의원,서울 서초구,,02-522-6227,https://youtube.com/피부일타민원장,,,,,
2022ff91,info@reageau.com,레아주서울피부과의원,서울 강남구,,02-6954-7501,http://reageau.com,,,,,
a5bdb710,ladyuro11@gmail.com,레이디유로비뇨기과의원,서울 강남구,,,http://www.ladyuro.com/,,,,,
dcf0b50e,repic.gn.official@gmail.com,레픽의원,서울 강남구,,02-6395-0312,https://repicclinic.com/,,,,,
794562b2,roadps@naver.com,로드성형외과의원,서울 강서구,,02-2699-9029,http://www.roadps.co.kr/,,,,,
b6029ea0,laurel@laurel.com,로렐의원,서울 강남구,,02-543-0407,https://www.laurelclinic.com/,,,,,
c4a30156,lohascare@yahoo.co.kr,로하스가정의학과의원,서울 용산구,,02-790-7470,http://www.lohascare.org/index.asp,,,,,
8b063b1b,lunawclinic@naver.com,루나여성의원,서울 마포구,,02-6393-5530,http://lunaclinic.co.kr/,,,,,
b002171d,clinic.lumi@gmail.com,루미의원,서울 송파구,,02-419-1900,https://www.lumiclinic.co.kr/,,,,,
0707e41e,luelclinic@gmail.com,루엘의원,서울 강남구,,02-514-1011,https://luelclinic.com/,,,,,
3bb33f05,luelclinic@naver.com,루엘의원,서울 강남구,,02-514-1011,https://luelclinic.com/,,,,,
6f3a1e87,lupiel@lupiel.co.kr,루피엘의원,서울 강남구,,02-516-8890,http://www.lupiel.co.kr,,,,,
e2e9d299,lesommetclinic@naver.com,르쏘메의원,서울 강남구,,02-543-8754,https://lesommetclinic.com,,,,,
19e80906,hnpm0224@gmail.com,리네아의원,서울 강서구,,02-3662-7050,https://lineaclinic.co.kr,,,,,
a1f6e912,jnderm@daum.net,리뉴피부과의원,서울 동작구,,02-813-8111,http://renewskin.co.kr/,,,,,
496b3c7b,reraskino@gmail.com,리라피부과의원,서울 강남구,,02-512-4568,http://reraskin.com,,,,,
cc349a0a,reborncorea@gmail.com,리본의원,서울 동작구,,02-6964-8575,http://reborncorea.com/,,,,,
b5b4340c,libhibclinic@libhibclinic.com,리브힙의원,서울 서초구,,02-6204-8888,https://www.libhibclinic.com,,,,,
17c307b3,yhj5881@naver.com,리비안의원,서울 강남구,,02-546-0159,http://rebian.itrocks.kr/,,,,,
4bd68600,leenahn@naver.com,리앤안의원,서울 강동구,,02-482-6622,http://www.leeahnclinic.co.kr,,,,,
d59a2eaf,lieul@naver.com,리을피부과의원,서울 강남구,,02-511-1030,https://lieulseoul.com/,,,,,
4c7ac661,switzskin@naver.com,리을피부과의원,서울 강남구,,02-511-1030,https://lieulseoul.com/,,,,,
e6d2ba62,returnclinic21@gmail.com,리턴의원,서울 서초구,,,http://www.returnclinic.com/,,,,,
1bd50b68,nartnavi2022@naver.com,리프업의원,서울 송파구,,02-6428-0028,https://youtu.be/uJSx1XM5yws?si=OyAlWzrDO8xeA0-u,,,,,
b221ef8c,relieve5@naver.com,릴리브의원,서울 강남구,,02-2138-2775,https://www.relieveclinic.co.kr,,,,,
9960575e,mdsclinic@naver.com,마들수내과의원,서울 노원구,,02-6314-7575,http://www.madeulsoo.co.kr,,,,,
9b38c72c,madire@naver.com,마디신경외과의원,서울 강북구,,02-985-5015,https://madire.mobidoc.us/,,,,,
bef99158,marianneclinic@naver.com,마리앤여성의원,서울 서초구,,02-512-5652,https://booking.naver.com/booking/13/bizes/312939,,,,,
bbac839a,akrjsaud13@naver.com,마이닥터의원,서울 동작구,,02-522-1020,http://www.mydrclinic.co.kr/,,,,,
4bd5668a,mindprs@mindprs.com,마인드성형외과의원,서울 서초구,,02-542-1006,http://www.mindprs.com,,,,,
b30959b8,minepscom@gmail.com,마인성형외과의원,서울 강남구,,516-1175,http://www.mineps.com,,,,,
5dc58058,mpleaders@naver.com,마포리더스내과의원,서울 마포구,,02-324-0077,https://mapoleaders.com,,,,,
96c03f54,mapomedcoop@naver.com,마포의료복지사회적협동조합 무지개의원,서울 마포구,,02-326-0611,http://www.mapomedcoop.net/,,,,,
d57d6a10,pigges@daum.net,매직피부과의원,서울 강남구,,02-3453-3114,http://www.emagicskin.com,,,,,
581cb3bf,fark0909@naver.com,메가비뇨의학과의원,서울 관악구,,02-871-7575,http://www.uromega.kr,,,,,
c94a02d5,masonclinic@naver.com,메이슨의원,서울 서초구,,02-534-3900,https://masonclinic.kr/,,,,,
c57de596,maison433@naver.com,메종드엠의원,서울 서초구,,02-533-7001,https://mdem.co.kr,,,,,
009d3f19,mendclinic.hannam@gmail.com,멘드의원,서울 용산구,,02-595-5110,http://www.mendclinic.kr/,,,,,
5ad4112d,urokhjna@naver.com,멘파워비뇨의학과의원,서울 강동구,,02-6958-7581,http://www.edgemenpower.com/,,,,,
a2555802,chun6698@naver.com,모다올의원,서울 강남구,,02-6481-0010,http://modaol.co.kr/,,,,,
a76eb3b5,urgaia@naver.com,모리의원,서울 강남구,,02-562-8878,http://www.clicktalmo.com,,,,,
0355823f,rich@richhair.com,모리치피부과의원,서울 강남구,,02-518-6888,http://richhair.com/,,,,,
36d98009,moamanclinic@naver.com,모아만의원,서울 강남구,,02-543-0033,https://www.moaman.kr/,,,,,
f0bafd3d,younghair337@naver.com,모아트의원,서울 강남구,,02-511-9966,https://www.youtube.com/channel/UCcIp614Det35Z00F4NtvsRQ,,,,,
c1644e70,mohong306@naver.com,모앤제일의원,서울 강남구,,02-557-3312,http://www.moandjeil.com,,,,,
50471e0e,e-mail.moemhair@gmail.com,모엠의원,서울 강남구,,02-552-0301,https://www.moem-hair.com/,,,,,
51707237,moudaclinic@naver.com,모우다의원,서울 강남구,,02-6953-5890,https://moudaclinic.com,,,,,
77904885,mo1hairps@gmail.com,모원성형외과의원,서울 강남구,,02-543-1190,https://www.mo1.co.kr,,,,,
cb243499,mo1hairps@naver.com,모원성형외과의원,서울 강남구,,02-543-1190,https://www.mo1.co.kr,,,,,
c0d471f7,monsterclinic@naver.com,몬스터의원,서울 강남구,,02-543-2488,http://www.monsterclinic.com,,,,,
199397e8,moonclinic8@naver.com,문의원,서울 강남구,,02-3443-8979,http://www.moonclinic.co.kr/,,,,,
e8eacb4d,family6105@naver.com,미드나잇의원,서울 강남구,,02-515-7585,https://www.midnightclinic.co.kr,,,,,
8b53ca0d,momo6821@hanmail.net,미드나잇의원,서울 강남구,,02-515-7585,https://www.midnightclinic.co.kr,,,,,
d197cd76,dr.woothera@gmail.com,미모던피부과의원,서울 강남구,,02-6207-5238,https://youtube.com/@닥터우쎄라,,,,,
5ba0b236,mimodream_ch@naver.com,미모드림의원,서울 강동구,,02-2038-2707,https://booking.naver.com/booking/13/bizes/196159,,,,,
ae26d3b1,kimhhfm@naver.com,미앤아이의원,서울 마포구,,02-2061-6588,http://mw-meiclinic.co.kr,,,,,
ec3eb831,jdwhang@empas.com,미예담산부인과의원,서울 강남구,,02-581-7500,http://www.miyedam.com/,,,,,
f8c6a4f8,swing1984@naver.com,미예담산부인과의원,서울 강남구,,02-581-7500,http://www.miyedam.com/,,,,,
b7f2cdcf,miindo6634@gmail.com,미인도의원,서울 강남구,,02-545-6634,http://www.miindoclinic.com,,,,,
e22a0fda,miindo9929@gmail.com,미인도의원,서울 강남구,,02-545-6634,http://www.miindoclinic.com,,,,,
6fe8fbdf,mizainps@naver.com,미자인의원,서울 강남구,,1599-3008,http://www.mizainsurgery.com,,,,,
c6178002,pkwangin@naver.com,미큐의원,서울 강남구,,313-4566,http://www.miqclinic.com,,,,,
2beea6f8,hyunmi3209@naver.com,민내과의원,서울 관악구,,02-835-6400,https://m.booking.naver.com/booking/13/bizes/937287?theme=place&area=pll,,,,,
b3f7ad56,bodyupclinic@gmail.com,바디업의원,서울 강남구,,02-518-1011,https://www.bodyupclinic.com,,,,,
06ce4471,15874919@hanmail.net,바로바디의원,서울 송파구,,02-431-5714,http://barobadi.com/,,,,,
fcc6b4a5,huey75@gmail.com,바로바디의원,서울 송파구,,02-431-5714,http://barobadi.com/,,,,,
95b310a0,babiline1004@naver.com,바비라인의원,서울 강남구,,02-546-6633,http://babiline-clinic.com/,,,,,
e831e04e,hslee03@kma.org,박노준산부인과의원,서울 강동구,,02-483-3600,http://www.pnjobgy.com/,,,,,
a79fb664,psjclinic@naver.com,박상준의원,서울 영등포구,,02-2039-9111,https://www.fitnessworld.co.kr/,,,,,
112936dd,zoeclinic@naver.com,박성주조에피부과의원,서울 강남구,,02-2058-0730,http://www.zoeclinic.com/,,,,,
9dc00aa6,asp0804@naver.com,박앤박피부과의원,서울 관악구,,02-888-0750,http://www.parknpark.co.kr/,,,,,
36f05b65,doc0915@naver.com,밝은내일내과의원,서울 금천구,,02-6933-0003,https://naeilclinic.modoo.link/,,,,,
b90b4c13,vandsps@naver.com,밴스성형외과의원,서울 강남구,,02-511-7705,https://vandsps.com/,,,,,
e4a7b2ad,balance.lab.mm@gmail.com,밸런스랩성형외과의원,서울 강남구,,1661-8581,http://balancelab.kr,,,,,
496c69c7,bettermemagok@naver.com,베러미의원,서울 강서구,,02-6349-9000,https://magoknaru.bettermeclinic.co.kr/,,,,,
c2618648,haenashin1225@gmail.com,베러미의원,서울 서초구,,1644-8180,https://gangnam.bettermeclinic.co.kr/,,,,,
33c8728b,hoo1465@nate.com,베스트웰피부과의원,서울 강남구,,02-511-3713,http://압구정피부과.kr/,,,,,
2804b42c,ask@bethelskin.com,벧엘피부과의원,서울 강남구,,02-532-3110,http://bethelskin.com,,,,,
691df000,bellebeauclinic@daum.net,벨뷰의원,서울 서초구,,02-533-1200,http://bellebeau.co.kr/,,,,,
5f1ccb22,bellepointclinic@gmail.com,벨포인트의원,서울 강남구,,02-548-1358,https://bellepoint.co.kr,,,,,
ec8ccd3d,vosdrhong@gmail.com,보스피부과의원,서울 강남구,,1668-1800,https://www.vos.co.kr,,,,,
fc6b46fa,chambarunmi@naver.com,본라인의원,서울 강남구,,02-562-1472,http://www.boneline.co.kr/,,,,,
ec393ebd,email.boneeye@boneeye.co.kr,본아이성형외과의원,서울 서초구,,02-1899-7233,http://www.boneeye.co.kr,,,,,
ee962dca,email@bonyeon77.com,본연성형외과의원,서울 서초구,,02-6953-9016,https://www.bonyeon77.com,,,,,
577298a4,chosukkyong79@gmail.com,봄빛의원,서울 용산구,,02-6951-2870,https://www.bomvitclinic.com,,,,,
612a42d7,vlprs@naver.com,뷔엘성형외과의원,서울 서초구,,,https://www.vlprs.com,,,,,
ee406207,beautybarplastic@gmail.com,뷰티바성형외과의원,서울 강남구,,02-535-5335,http://beautybarclinics.co.kr/,,,,,
f39d1715,beautyblossom2025@gmail.com,뷰티블라썸의원,서울 마포구,,02-336-7511,https://beautyblossom.kr/,,,,,
a2ba04cb,beautyonmd@gmail.com,뷰티온의원,서울 성북구,,02-6958-8299,https://dolgoji.beautyon.co.kr/event?seq=25,,,,,
5d407e72,beautyquecnn@naver.com,뷰티크의원,서울 서초구,,02-535-2462,https://beautyqueclinic2.com/?utm_source=naver&utm_medium=referral&utm_campaign=PL_CN,,,,,
5ccb5ab4,hihansen@hanmail.net,브라운아이의원,서울 서초구,,3477-7774,http://www.browneye.co.kr,,,,,
e00116b1,wise@gmail.com,브라이트피부과의원,서울 영등포구,,02-6953-5730,https://brightskinseoul-kr.imweb.me/,,,,,
02550a16,vnplastic@naver.com,브이엔성형외과의원,서울 서초구,,02-599-1008,http://www.vnps.co.kr,,,,,
d9508f3d,blancjou@naver.com,블랑쥬의원,서울 서초구,,02-592-5500,http://www.blancjou.com,,,,,
112da57a,blangjou@gmail.com,블랑쥬의원,서울 서초구,,02-592-5500,http://www.blancjou.com,,,,,
2ef0ddfd,kti114@nate.com,비너스의원,서울 강동구,,02-3427-2103,http://www.02-3427-2103.kti114.net,,,,,
165230a5,license@php.net,비너스의원,서울 강동구,,02-3427-2103,http://www.02-3427-2103.kti114.net,,,,,
59b149b1,bespokeclinic@naver.com,비스포크의원,서울 마포구,,02-6925-1777,https://www.youtube.com/@doctorilse,,,,,
5d8a2a49,nodcompany@naver.com,비스포크의원,서울 마포구,,02-6925-1777,https://www.youtube.com/@doctorilse,,,,,
e46e8b15,btps0518@naver.com,비티성형외과의원,서울 서초구,,,https://www.btprs.co.kr,,,,,
fe5e4575,medyams@naver.com,비티에프의원,서울 강남구,,02-542-4067,http://btfclinic.co.kr/,,,,,
925987f1,info@btq.co.kr,비티큐의원,서울 강남구,,070-4131-9048,https://www.btq.co.kr,,,,,
ee7e70cf,vlifps2@naver.com,빌리프성형외과의원,서울 서초구,,02-567-5255,https://vlif.co.kr/06_etc/etc01.php,,,,,
e45180a4,btnd@btnanda.com,빛이난다의원,서울 중구,,02-318-1102,http://btnanda.com,,,,,
7ec94291,saryeoni_clinic@naver.com,사려니의원,서울 영등포구,,02-2671-3041,https://saryeoni-clinic.com/,,,,,
f17b02bf,sanso@naver.com,산소의원,서울 종로구,,02-733-7343,http://www.sansoclinic.co.kr,,,,,
f34328ae,skim2696@hanmail.net,삼성강내과의원,서울 송파구,,02-407-7950,https://sites.google.com/view/skangim,,,,,
38f1ec5a,ss-plus-med01@naver.com,삼성더건강내과의원,서울 강남구,,02-6953-0815,http://ssplusmed.com/,,,,,
928d03ce,gsamsungtop@naver.com,삼성정형외과의원,서울 금천구,,02-858-3307,http://구로삼성탑정형외과.com,,,,,
5631ad99,samsfeel@naver.com,삼성필의원,서울 동작구,,02-821-1001,https://feel-clinic.co.kr/,,,,,
1dfcb3d5,secretyong76@naver.com,상상의원,서울 강남구,,02-424-4895,http://www.ssppeum.com/,,,,,
d784c60b,shinederma11@gmail.com,샤인더마의원,서울 성동구,,02-6951-1870,http://www.shinederma.com,,,,,
848ffbea,shineyoungclinic@naver.com,샤인영의원,서울 광진구,,02-497-9191,http://www.shineyoungclinic.com/,,,,,
30c1727e,01198765403@naver.com,샤인의원,서울 양천구,,02-2654-4440,http://shineclinic7.com/,,,,,
06299e43,snubom2024@naver.com,서울늘봄메디칼내과의원,서울 구로구,,02-2675-3247,http://www.snuneulbom.com,,,,,
505a5f3f,seoulbonimclinic@gmail.com,서울본내과의원,서울 마포구,,02-3143-2220,https://www.seoulbon.co.kr/,,,,,
